Time,CPU,Memory
12:22:08,1.5,15.2582
12:22:08,9.2,15.4041
12:22:09,0.7,15.3343
12:22:10,6.7,15.3153
12:22:10,1.5,15.3407
12:22:11,14.7,15.347
12:22:12,6.8,15.3661
12:22:12,0.8,15.3851
12:22:13,16.8,15.9371
12:22:14,24.8,16.2923
12:22:14,0.8,16.2733
12:22:15,19.2,16.9014
12:22:16,9.2,16.7491
12:22:16,3.8,16.6096
12:22:17,3.0,16.6159
12:22:18,0.0,16.6476
12:22:18,2.3,16.5144
12:22:19,0.8,16.5017
12:22:20,0.0,16.876
12:22:21,0.0,16.8443
12:22:21,0.0,16.8887
12:22:22,9.4,17.4978
12:22:23,1.5,17.4978
12:22:23,0.8,17.5105
12:22:24,0.8,17.3201
12:22:25,2.3,17.7642
12:22:25,0.0,17.7833
12:22:26,0.0,17.7325
12:22:27,8.4,18.3543
12:22:27,0.8,18.405
12:22:28,0.7,18.1576
12:22:29,9.9,18.4431
12:22:29,0.7,18.7476
12:22:30,12.1,18.7349
12:22:31,10.9,18.6778
12:22:31,0.8,19.325
12:22:32,0.8,19.179
12:22:33,2.3,19.1219
12:22:33,23.8,19.7373
12:22:34,0.8,19.7691
12:22:35,0.8,19.6485
12:22:36,3.7,19.6676
12:22:36,0.0,17.631
12:22:37,0.7,17.5929
12:22:38,0.8,17.5993
12:22:38,14.9,18.0688
12:22:39,0.0,17.9546
12:22:40,0.0,17.9546
12:22:40,8.3,16.7809
12:22:41,0.8,17.1996
12:22:42,1.5,17.1425
12:22:42,0.8,17.1552
12:22:43,1.5,17.6691
12:22:44,3.0,17.5041
12:22:44,0.8,17.5295
12:22:45,10.0,18.1322
12:22:46,0.8,18.0244
12:22:46,1.5,17.9673
12:22:47,0.8,17.9673
12:22:48,0.8,18.4621
12:22:49,1.5,18.4938
12:22:49,1.5,18.5129
12:22:50,9.1,19.0141
12:22:51,0.8,18.9253
12:22:51,0.7,18.9316
12:22:52,10.7,18.6588
12:22:53,0.7,18.8745
12:22:53,0.7,18.8809
12:22:54,0.8,18.8935
12:22:55,0.8,19.4709
12:22:55,0.8,19.2108
12:22:56,0.7,19.2044
12:22:57,26.1,19.6295
12:22:57,0.8,19.6739
12:22:58,1.5,19.6549
12:22:59,1.5,19.5978
12:22:59,1.6,16.8189
12:23:00,2.3,16.7872
12:23:01,6.3,16.7555
12:23:01,26.5,17.0917
12:23:02,9.1,17.263
12:23:03,3.0,17.2757
12:23:04,5.5,16.6667
12:23:04,3.1,17.1679
12:23:05,4.4,17.1298
12:23:06,5.3,17.1298
12:23:06,16.2,17.6945
12:23:07,3.0,17.5929
12:23:08,3.0,17.5485
12:23:08,8.9,17.6056
12:23:09,6.1,18.0117
12:23:10,3.8,17.9863
12:23:10,3.8,17.9863
12:23:11,8.4,18.6842
12:23:12,8.4,18.5573
12:23:12,2.3,18.5319
12:23:13,15.5,18.2528
12:23:14,21.1,18.4748
12:23:14,21.1,18.5002
12:23:15,4.5,18.4114
12:23:16,16.7,16.5207
12:23:17,3.8,16.3875
12:23:17,2.4,16.3939
12:23:18,21.2,16.6159
12:23:19,4.6,16.8443
12:23:19,39.4,16.7238
12:23:20,8.2,16.7301
12:23:21,3.1,17.3709
12:23:21,2.3,17.0791
12:23:22,3.0,17.0346
12:23:23,21.5,17.5549
12:23:23,3.8,17.5295
12:23:24,3.1,17.5295
12:23:25,8.1,17.5295
12:23:25,4.7,18.0307
12:23:26,3.0,17.9926
12:23:27,4.5,17.9673
12:23:27,15.4,18.4685
12:23:28,2.3,18.4938
12:23:29,2.3,18.4938
12:23:29,17.7,18.7476
12:23:30,3.1,19.0204
12:23:31,4.5,19.0331
12:23:31,9.9,19.0395
12:23:32,3.1,19.4138
12:23:33,3.1,19.3757
12:23:34,9.7,19.3884
12:23:34,14.9,20.0482
12:23:35,2.3,19.9277
12:23:36,7.8,19.9023
12:23:36,5.3,19.934
12:23:37,16.4,19.5724
12:23:38,9.8,19.5343
12:23:38,3.1,19.5597
12:23:39,14.3,17.2313
12:23:40,4.7,16.5969
12:23:40,5.4,16.5398
12:23:41,1.6,16.5081
12:23:42,7.4,16.9458
12:23:42,3.1,16.9268
12:23:43,2.3,16.9078
12:23:44,19.4,17.3772
12:23:44,9.8,17.3582
12:23:45,1.6,17.3645
12:23:46,3.9,17.3772
12:23:46,10.0,17.8784
12:23:47,3.8,17.8911
12:23:48,2.3,17.8975
12:23:49,16.3,18.5129
12:23:49,4.5,18.386
12:23:50,2.3,18.3543
12:23:51,14.9,18.7032
12:23:51,6.9,18.8618
12:23:52,3.0,18.8555
12:23:53,3.1,18.8491
12:23:53,8.5,19.4011
12:23:54,19.1,18.4685
12:23:55,5.3,18.4177
12:23:55,18.7,19.0141
12:23:56,2.3,18.938
12:23:57,4.5,18.8872
12:23:57,7.8,18.8618
12:23:58,5.3,19.4011
12:23:59,3.9,19.1537
12:23:59,4.7,19.0966
12:24:00,40.7,19.566
12:24:01,2.3,19.5089
12:24:01,3.1,19.4772
12:24:02,11.4,19.5026
12:24:03,3.1,16.7174
12:24:04,3.8,16.5715
12:24:04,6.1,16.5207
12:24:05,14.0,17.0791
12:24:06,3.8,17.0346
12:24:06,2.3,17.0473
12:24:07,15.3,16.7491
12:24:08,18.6,17.0664
12:24:08,3.8,17.0791
12:24:09,9.4,17.0981
12:24:10,2.3,17.6183
12:24:10,3.1,17.5929
12:24:11,9.1,17.5993
12:24:12,16.2,17.6754
12:24:12,20.5,17.7642
12:24:13,11.5,17.7769
12:24:14,3.1,17.7833
12:24:14,3.0,18.3733
12:24:15,5.4,18.2718
12:24:16,9.8,18.2654
12:24:16,21.7,18.7349
12:24:17,3.0,18.5319
12:24:18,11.5,18.57
12:24:19,7.7,18.5827
12:24:19,2.3,19.1219
12:24:20,12.4,19.0966
12:24:21,6.1,19.0585
12:24:21,16.8,19.7056
12:24:22,7.1,19.731
12:24:23,3.9,19.0902
12:24:23,14.1,19.3376
12:24:24,4.7,19.547
12:24:25,6.2,19.5597
12:24:25,8.5,19.5851
12:24:26,13.3,16.7745
12:24:27,11.5,16.6667
12:24:27,11.5,16.7047
12:24:28,3.1,16.7238
12:24:29,7.5,17.2186
12:24:29,4.6,17.1932
12:24:30,18.6,16.7428
12:24:31,8.7,17.1425
12:24:31,9.8,17.1362
12:24:32,3.1,17.1425
12:24:33,13.4,17.409
12:24:34,12.8,17.5485
12:24:34,15.2,17.4597
12:24:35,2.3,17.4216
12:24:36,11.5,17.8213
12:24:36,3.1,17.7896
12:24:37,3.1,17.8087
12:24:38,28.9,18.2464
12:24:38,4.5,18.2654
12:24:39,4.5,18.2083
12:24:40,4.7,18.1512
12:24:40,9.2,18.4621
12:24:41,3.8,18.4812
12:24:42,2.3,18.5065
12:24:42,18.9,19.0522
12:24:43,4.5,19.0458
12:24:44,3.0,19.0395
12:24:44,17.2,19.2361
12:24:45,8.3,19.5153
12:24:46,3.8,19.5153
12:24:47,17.1,19.1854
12:24:47,18.5,19.6422
12:24:48,2.3,19.528
12:24:49,3.1,19.547
12:24:49,27.9,19.7818
12:24:50,4.5,16.5398
12:24:51,3.1,16.4383
12:24:51,8.3,16.3939
12:24:52,6.9,16.8887
12:24:53,2.3,16.7936
12:24:53,6.2,16.838
12:24:54,17.4,17.0473
12:24:55,3.1,17.2757
12:24:55,8.9,17.2884
12:24:56,7.7,17.2567
12:24:57,17.6,16.2289
12:24:57,3.8,16.2289
12:24:58,10.1,16.2226
12:24:59,11.6,16.4002
12:24:59,3.1,16.5144
12:25:00,12.8,16.5144
12:25:01,2.3,16.5271
12:25:02,18.8,16.9585
12:25:02,8.5,16.9141
12:25:03,4.6,16.9331
12:25:04,21.7,17.225
12:25:04,6.7,16.6794
12:25:05,7.6,16.5144
12:25:06,3.8,16.5461
12:25:06,27.9,17.2059
12:25:07,12.2,17.0283
12:25:08,2.3,17.0093
12:25:08,13.5,16.6032
12:25:09,9.7,16.6984
12:25:10,3.0,16.6984
12:25:10,3.0,16.7365
12:25:11,1.5,17.2884
12:25:12,3.1,17.3328
12:25:12,5.2,17.3138
12:25:13,9.5,17.7642
12:25:14,3.7,17.8023
12:25:14,3.0,17.7833
12:25:15,6.8,17.8087
12:25:16,3.1,17.5676
12:25:17,2.3,17.5422
12:25:17,2.3,17.5549
12:25:18,9.9,18.0307
12:25:19,4.6,18.0053
12:25:19,2.2,18.0434
12:25:20,2.9,18.0688
12:25:21,3.8,17.2503
12:25:21,3.0,17.0727
12:25:22,3.7,17.0917
12:25:23,14.2,17.5612
12:25:23,1.5,17.5866
12:25:24,3.8,17.5612
12:25:25,9.0,17.6374
12:25:25,1.5,18.1322
12:25:26,3.0,18.1005
12:25:27,3.0,18.0624
12:25:27,9.2,18.7222
12:25:28,15.6,18.2591
12:25:29,4.5,18.2781
12:25:30,14.5,18.405
12:25:30,2.3,18.7032
12:25:31,2.3,18.6715
12:25:32,3.1,18.7476
12:25:32,6.0,19.2615
12:25:33,3.0,19.2679
12:25:34,1.5,19.2552
12:25:34,14.6,19.7056
12:25:35,3.0,19.75
12:25:36,2.3,19.8515
12:25:36,2.3,19.8896
12:25:37,18.0,19.6105
12:25:38,2.2,19.5978
12:25:38,3.7,19.6231
12:25:39,17.2,16.8126
12:25:40,3.0,16.4763
12:25:40,8.4,16.4002
12:25:41,3.7,16.4129
12:25:42,3.1,16.9078
12:25:43,5.4,16.8633
12:25:43,3.0,16.8507
12:25:44,14.7,17.4661
12:25:45,3.7,17.3645
12:25:45,2.3,17.4026
12:25:46,4.6,17.3899
12:25:47,3.8,17.6247
12:25:47,3.8,17.5739
12:25:48,3.0,17.5929
12:25:49,20.6,18.1259
12:25:49,3.1,18.2528
12:25:50,2.3,18.2845
12:25:51,8.5,18.3543
12:25:51,3.8,18.7984
12:25:52,0.8,18.7793
12:25:53,3.8,18.7857
12:25:53,7.5,19.2996
12:25:54,1.5,19.2044
12:25:55,3.0,19.179
12:25:56,21.4,19.5089
12:25:56,3.1,19.0395
12:25:57,3.8,18.9443
12:25:58,5.3,18.9316
12:25:58,3.0,19.325
12:25:59,1.5,19.3376
12:26:00,3.1,19.3884
12:26:00,14.5,19.9721
12:26:01,3.0,19.8071
12:26:02,3.8,19.8452
12:26:02,3.7,19.8706
12:26:03,19.4,19.7247
12:26:04,4.5,16.6603
12:26:04,2.3,16.673
12:26:05,2.3,16.6794
12:26:06,14.4,17.225
12:26:06,5.2,17.1044
12:26:07,3.7,17.0981
12:26:08,9.2,17.1932
12:26:08,3.8,17.5485
12:26:09,1.5,17.5866
12:26:10,3.0,17.5676